,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
bat_landing_number,2128.0,31.904135338345863,24.83866554147108,0.0,11.0,27.0,48.0,103.5,0.8052143743031607,-0.05061304308010284
rat_arrival_number,2128.0,0.37875939849624063,0.7131381493987641,0.0,0.0,0.0,1.0,2.5,1.7851089274251044,2.021306427392892
rat_minutes,2128.0,0.12669956145347747,0.21839232596395675,0.0,0.0,0.0,0.20416666675,0.5104166668750001,1.1654735561572285,-0.6204931740188315
food_availability,2128.0,2.4460091820140977,1.2172805620112266,0.0,1.95858011625,2.9575849305,3.1026674940000003,4.0,-0.5274120611082662,-0.6449082488487705
hours_after_sunset,2128.0,5.266212406015038,4.071466681249734,-2.0,2.0,5.0,8.5,13.5,0.07167984598954548,-1.0370044336783373
rat_influence,2906.0,3.628498508681004,23.359789556697418,0.0,0.0,0.0,0.0,639.7999998,15.78971346105074,326.41851781008177
rat_influence_log,2906.0,0.38722958583462513,0.9607557528690521,0.0,0.0,0.0,0.0,6.46271739544204,2.7798387870007693,7.784859181893262
risk_reward_ratio,550.0,0.878736543047654,0.9464643362914024,0.0,0.1843331060699046,0.48028076764917044,1.2695223759744927,2.897306280831375,1.179797457938208,0.018246077849848774
risk_reward_ratio_log,550.0,0.5246564121677776,0.4413638488342979,0.0,0.16917975023668091,0.39222960756180636,0.8195692833707027,1.3602856172716575,0.7312062707982108,-0.7292128616172486
